case,prob
130,0.6980581
131,0.49816555
132,0.7376299
133,0.49272233
134,0.42990464
135,0.80235195
136,0.48663196
137,0.49219784
138,0.76255417
139,0.39430925
140,0.8815012
141,0.48986942
142,0.48763612
143,0.5427532
144,0.3774031
145,0.6309552
146,0.8937559
147,0.45705795
148,0.6845913
149,0.35925466
150,0.8612032
151,0.77955246
152,0.4763122
153,0.5280423
154,0.45055166
155,0.4967129
156,0.4934979
157,0.75554085
158,0.7696829
159,0.700613
160,0.7713914
161,0.47537097
162,0.46594495
163,0.44265062
164,0.8758507
165,0.68731403
166,0.61188364
167,0.4530891
168,0.47455812
169,0.42664412
170,0.48570707
171,0.41660878
172,0.57485676
173,0.43609962
174,0.5895977
175,0.5056386
176,0.52738285
177,0.44130024
178,0.8294215
179,0.439552
180,0.85769415
181,0.52234364
182,0.4386199
183,0.49841833
184,0.45482916
185,0.4599642
186,0.77153635
187,0.4684777
188,0.64409065
189,0.80673265
190,0.6271343
191,0.3870841
192,0.470213
193,0.4472676
194,0.56754637
195,0.48287535
196,0.4969824
197,0.48215586
198,0.56880903
199,0.39598507
