case,prob
137,0.1624215
176,0.2587298
148,0.9952278
160,0.9993411
172,0.15413213
133,0.52492636
178,0.35025135
147,0.68521863
140,0.71111125
131,0.8704252
135,0.4026868
173,0.07359145
179,0.45492622
182,0.5335478
169,0.12243534
139,0.04788364
199,0.14158387
195,0.40788856
170,0.9078571
190,0.9957226
144,0.079314046
191,0.105471246
196,0.15905954
143,0.59488994
132,0.93321824
171,0.26241907
150,0.9712452
167,0.048092555
187,0.49148154
180,0.68520695
145,0.34508726
153,0.5219551
188,0.17131639
151,0.04927708
134,0.24932437
157,0.97467655
158,0.81254774
168,0.012063407
198,0.03898823
164,0.41498566
159,0.04856041
184,0.34304366
138,0.02468736
141,0.02492971
155,0.9781346
166,0.9393053
162,0.17375457
163,0.055418625
185,0.6988137
156,0.25158885
136,0.059106726
175,0.8409371
149,0.09343525
152,0.27675268
161,0.3230375
192,0.9133442
174,0.9693353
186,0.999454
142,0.9842755
177,0.2920503
146,0.03976759
165,0.040370967
197,0.15002032
189,0.99849325
183,0.99451894
154,0.40159807
194,0.044718172
130,0.98785573
181,0.33801067
193,0.029662013
