public_id,coordX,coordY,coordZ,x_length,y_length,z_length,probability
137,99.0,98.5,336.5,15,114,80,0.36122751235961914
137,265.0,225.0,383.5,1,57,40,0.27925509214401245
176,226.0,136.0,484.5,3,55,38,0.32777056097984314
148,176.5,138.5,409.5,62,136,104,0.5827891230583191
160,230.0,117.5,471.5,19,180,108,0.7020658254623413
160,248.5,152.5,445.5,10,174,122,0.649396538734436
160,218.5,167.5,540.0,2,128,105,0.3566901385784149
160,251.0,141.5,345.0,3,56,71,0.34733954071998596
160,253.5,276.0,511.5,4,97,52,0.32404211163520813
172,306.0,131.5,410.0,23,112,65,0.5290442705154419
133,277.0,281.5,380.5,3,64,46,0.18128614127635956
178,246.5,231.0,485.0,20,173,169,0.4398125410079956
178,282.0,241.0,498.0,29,211,169,0.3720592260360718
178,236.0,309.0,483.5,1,199,122,0.3133736252784729
147,255.5,230.0,417.0,66,281,295,0.401940256357193
147,206.0,144.5,431.0,9,100,53,0.37282130122184753
147,291.0,187.5,380.5,3,110,60,0.33841899037361145
147,186.0,188.0,471.0,13,175,119,0.27933067083358765
140,230.0,263.0,510.0,23,261,207,0.499774307012558
140,217.5,210.5,516.0,2,100,33,0.4732253849506378
140,251.5,236.5,560.5,16,170,96,0.46866223216056824
140,214.5,295.5,498.5,4,108,94,0.3536709249019623
140,204.0,224.0,389.0,7,99,63,0.31015458703041077
140,183.5,270.0,447.0,2,153,59,0.2943001091480255
131,244.5,221.5,432.0,26,314,233,0.555000901222229
131,228.0,184.5,406.5,7,234,182,0.5356354117393494
131,263.5,178.0,420.5,2,77,52,0.33393874764442444
135,116.0,153.0,467.5,21,165,126,0.5543755888938904
135,131.0,150.5,484.5,7,84,38,0.30282723903656006
173,198.5,102.5,457.5,16,112,92,0.5011629462242126
173,283.0,144.0,630.5,1,67,46,0.3042025566101074
173,285.0,128.5,586.5,1,68,80,0.29584014415740967
173,274.0,139.5,625.0,1,36,23,0.2819337248802185
179,282.5,139.5,411.0,12,142,121,0.4435963034629822
182,205.0,160.0,264.5,27,183,194,0.6842432022094727
182,189.0,167.0,284.5,7,133,84,0.6609458923339844
182,219.5,131.0,265.0,2,73,31,0.5712924599647522
182,182.0,126.0,265.5,5,31,20,0.3837530314922333
182,337.5,236.0,447.0,4,119,69,0.3173530399799347
182,237.0,212.0,176.5,1,43,18,0.27473750710487366
182,234.0,188.0,353.5,3,27,20,0.26675739884376526
182,250.0,121.5,430.0,7,74,65,0.25836169719696045
169,196.5,211.5,289.0,10,130,67,0.24856562912464142
139,206.0,155.5,197.0,9,78,59,0.4018993675708771
139,196.5,169.5,386.5,12,138,72,0.34982773661613464
139,176.5,218.0,528.0,2,107,45,0.31935617327690125
139,189.5,136.5,404.0,2,116,53,0.29350176453590393
139,241.0,196.5,359.5,5,108,86,0.28047415614128113
139,113.5,140.0,340.0,4,123,101,0.2639298737049103
199,252.5,224.0,372.5,32,205,180,0.6987170577049255
199,316.0,223.0,462.5,3,53,62,0.3851892948150635
199,140.0,143.0,444.5,9,85,108,0.33549952507019043
199,270.5,235.0,181.0,4,217,91,0.31945696473121643
199,283.5,259.5,158.0,2,242,89,0.3097347021102905
199,305.5,195.5,419.5,6,116,84,0.29532673954963684
199,290.5,227.0,181.0,2,41,27,0.2631142735481262
195,217.0,226.0,498.5,41,241,188,0.7026329040527344
170,227.0,200.5,330.0,37,174,107,0.5710467100143433
190,272.5,186.5,419.5,44,312,206,0.7900463342666626
190,250.0,183.5,441.0,1,174,87,0.6747331023216248
190,243.5,158.0,361.0,10,105,61,0.5661085247993469
190,225.0,145.5,346.5,1,16,20,0.28256654739379883
190,202.5,76.0,320.5,2,131,88,0.2524854242801666
144,141.0,168.5,427.0,5,126,59,0.4426785707473755
144,44.0,147.0,376.5,21,125,106,0.3675970435142517
144,177.0,236.5,465.0,1,38,27,0.34283459186553955
144,73.0,118.0,336.0,13,121,119,0.2997632920742035
191,158.0,97.5,407.5,17,122,74,0.4984157383441925
191,256.0,125.5,385.5,3,72,30,0.38442450761795044
196,253.5,232.5,365.0,8,94,43,0.4300325810909271
196,230.0,165.5,416.0,5,66,37,0.34295448660850525
196,240.5,166.0,403.0,2,35,25,0.2970515191555023
196,223.5,240.5,437.0,2,68,51,0.2706628441810608
196,293.0,207.5,364.5,1,86,42,0.2570352256298065
143,249.0,153.0,581.0,29,233,187,0.6686183214187622
143,265.5,178.5,488.5,6,104,60,0.2883695065975189
132,168.5,179.0,144.0,34,265,181,0.6148267388343811
132,281.0,140.0,534.0,1,101,57,0.36957159638404846
171,204.5,131.0,417.5,12,189,80,0.46998995542526245
171,210.0,158.0,428.0,1,137,101,0.4194713532924652
171,219.0,120.0,414.5,1,83,74,0.3914582431316376
171,204.0,141.0,198.0,3,49,33,0.30143269896507263
171,348.5,315.0,572.5,8,121,92,0.2986755669116974
171,244.0,255.5,144.0,1,140,87,0.28338074684143066
150,201.0,321.0,330.0,27,303,145,0.5656536221504211
150,175.5,201.0,310.5,14,137,82,0.36242562532424927
167,238.0,131.5,609.5,19,158,112,0.6126261949539185
167,225.0,159.0,613.0,3,85,79,0.5445510745048523
167,162.0,142.0,526.0,5,83,107,0.2885245978832245
187,200.5,186.0,461.5,26,187,148,0.5901551246643066
187,181.5,214.0,485.0,8,139,103,0.5502758026123047
187,176.5,128.0,466.5,2,61,52,0.3918430805206299
180,168.5,193.0,640.5,28,217,94,0.7448424100875854
180,187.5,170.5,333.5,2,88,60,0.28107959032058716
145,217.0,230.0,474.0,35,249,153,0.6756387948989868
145,237.0,214.5,435.0,5,112,35,0.514512836933136
145,113.5,161.5,288.5,14,48,52,0.31633123755455017
145,292.5,298.0,641.0,10,139,121,0.2923213839530945
153,263.0,176.5,203.5,17,126,72,0.5686953663825989
153,164.0,160.0,342.0,3,113,77,0.3128529489040375
153,245.5,152.5,285.0,4,78,45,0.28286272287368774
153,253.0,190.5,289.5,3,108,40,0.27808427810668945
153,241.5,212.5,288.5,4,46,38,0.2626652419567108
188,143.5,119.5,353.0,30,102,99,0.48540687561035156
188,63.0,129.5,150.0,29,144,113,0.3368341624736786
188,35.0,172.0,166.0,11,143,91,0.2758690416812897
151,197.5,91.0,273.5,18,137,102,0.5342078804969788
151,167.5,94.0,325.5,20,75,58,0.390621542930603
151,216.5,90.5,275.5,2,40,26,0.33252060413360596
134,265.5,164.5,656.0,28,150,125,0.274324506521225
134,199.5,162.0,399.0,6,39,29,0.2656809389591217
134,231.5,190.0,489.0,4,31,33,0.2530294954776764
157,222.5,205.5,272.5,18,118,100,0.5619140267372131
157,204.5,182.0,262.0,8,175,135,0.35278257727622986
157,182.0,225.0,307.0,5,109,61,0.27064716815948486
157,210.0,199.5,451.5,1,154,80,0.261464923620224
157,231.0,297.5,350.0,3,84,67,0.2584989666938782
157,238.5,255.5,360.0,2,28,19,0.25477394461631775
158,282.5,162.5,425.5,24,136,82,0.6230639219284058
158,222.0,157.5,188.0,11,88,107,0.2994862198829651
158,300.5,184.5,478.5,8,114,80,0.29452794790267944
168,150.0,70.5,306.0,9,50,47,0.354500412940979
168,82.0,118.5,510.0,1,94,61,0.2565242052078247
198,191.5,224.0,323.5,12,99,82,0.43362948298454285
198,235.5,117.5,276.0,6,114,53,0.392857164144516
198,264.5,257.5,481.0,8,98,59,0.3415963351726532
198,299.5,177.5,434.5,24,128,114,0.31143712997436523
198,319.0,297.5,492.0,9,246,175,0.3028085231781006
164,204.0,250.5,499.0,1,190,91,0.48857519030570984
164,221.0,181.0,461.0,1,41,31,0.4660733640193939
164,217.0,290.5,525.5,1,288,216,0.38281500339508057
164,201.5,217.5,487.5,6,124,72,0.3787110149860382
164,220.0,324.0,529.0,3,231,223,0.34902411699295044
164,218.0,232.0,505.0,3,95,65,0.34258535504341125
164,244.5,203.0,370.5,2,57,26,0.25192707777023315
159,221.5,218.0,272.0,24,199,209,0.7532682418823242
159,206.5,196.0,253.0,2,71,35,0.3589925765991211
184,124.0,92.0,428.5,17,101,62,0.6200202107429504
184,122.0,183.0,506.5,11,55,82,0.27654358744621277
138,222.0,132.0,536.0,19,133,73,0.5006985068321228
141,180.0,92.5,406.5,17,102,126,0.48527008295059204
141,128.0,97.5,335.0,3,44,23,0.3251176178455353
141,179.0,103.0,515.0,1,75,85,0.31715235114097595
141,159.5,79.0,640.5,2,55,26,0.26631346344947815
155,237.0,141.5,610.0,27,142,101,0.6699792146682739
155,196.0,146.0,434.5,11,95,88,0.3493770956993103
155,215.0,219.5,370.5,13,98,94,0.3209477961063385
155,242.5,276.0,247.5,4,51,50,0.297090083360672
166,181.5,122.5,430.0,46,200,173,0.5749786496162415
166,142.0,139.0,410.0,21,109,79,0.5232303142547607
166,258.5,125.0,442.0,20,119,89,0.5089496374130249
166,279.5,183.0,572.5,24,101,106,0.4079875349998474
166,244.5,119.0,424.5,8,87,80,0.37221255898475647
166,212.0,137.0,364.0,5,57,55,0.3191056251525879
162,96.5,131.5,332.5,8,126,58,0.2673020362854004
163,152.5,75.0,349.5,22,85,92,0.42165759205818176
163,165.0,92.0,311.5,1,33,70,0.29003047943115234
185,155.0,166.5,515.0,27,154,153,0.5486744046211243
185,291.5,154.5,285.0,2,66,45,0.2527303695678711
156,181.0,159.5,483.5,17,140,104,0.6836989521980286
156,166.0,127.0,468.5,13,65,46,0.5454816818237305
156,199.0,134.0,428.0,5,33,33,0.27530860900878906
136,192.0,120.5,600.0,9,180,161,0.6098453998565674
