public_id,coordX,coordY,coordZ,x_length,y_length,z_length,probability
130,206.5,178.5,381.5,39,201,135,0.9953941106796265
132,171.0,185.0,143.5,38,240,159,0.891269713640213
133,157.5,198.0,438.5,7,32,31,0.8656172156333923
134,199.0,162.5,399.0,10,39,28,0.9900794625282288
134,268.0,162.5,664.0,28,117,102,0.8349223285913467
135,115.5,150.5,456.5,29,157,105,0.9994305372238159
136,198.0,123.0,602.0,22,182,164,0.9955371916294098
137,264.5,168.5,216.5,9,65,43,0.819964587688446
137,269.0,152.5,371.5,20,111,83,0.8123999685049057
137,101.5,107.0,350.5,15,72,49,0.9646342694759369
137,213.0,104.0,157.0,16,78,52,0.7490499913692474
138,218.5,124.0,534.5,19,118,71,0.999993085861206
139,145.0,126.5,430.0,14,97,52,0.846866562962532
139,208.5,155.5,202.0,21,91,72,0.9805891662836075
140,237.0,271.5,525.0,50,255,180,0.9227011352777481
141,160.5,78.5,633.5,19,79,41,0.9924489259719849
142,180.0,126.5,319.0,32,215,104,0.9997503757476807
143,249.0,156.0,589.0,40,234,176,0.9989143013954163
144,45.0,142.5,370.5,26,117,85,0.999933123588562
144,73.0,116.5,349.5,22,117,67,0.9621985554695129
145,219.0,221.0,462.0,46,234,140,0.9971442818641663
145,166.0,162.5,144.0,12,65,40,0.9124726504087448
146,184.5,137.5,709.5,9,79,21,0.7679697126150131
146,222.5,124.5,461.5,11,39,19,0.745388388633728
146,256.5,154.0,478.0,7,46,24,0.809819757938385
147,99.0,142.5,213.0,18,91,74,0.8525008857250214
148,182.5,147.0,411.5,29,138,81,0.9991226643323898
149,214.0,85.0,378.0,36,104,104,0.8482468277215958
150,200.0,325.0,326.5,38,234,121,0.9948447644710541
151,201.0,95.0,270.0,24,124,88,0.8511982560157776
151,173.0,91.5,325.5,18,79,61,0.9999507069587708
153,264.0,180.0,203.5,24,124,69,0.9986379742622375
154,259.0,224.0,427.5,30,136,79,0.985568106174469
155,239.5,147.0,613.5,31,124,95,0.9996815323829651
156,179.5,167.0,479.0,23,150,102,0.999970555305481
157,216.5,183.5,249.5,31,157,99,0.910932183265686
158,283.0,157.0,423.0,32,130,80,0.9996888637542725
159,222.0,212.5,280.0,28,177,152,0.9727688431739807
160,235.5,170.0,496.5,31,288,129,0.9973996877670288
161,228.5,182.0,272.0,33,130,74,0.9086737632751465
162,293.5,156.0,382.5,17,78,33,0.9356184005737305
162,100.0,159.0,345.5,30,176,83,0.8749180138111115
163,219.5,107.5,287.5,11,59,29,0.8218641430139542
164,167.0,144.0,406.5,8,52,19,0.8226071000099182
165,144.5,75.5,358.5,11,59,19,0.9458995759487152
166,169.5,130.5,423.0,49,209,138,0.9684038758277893
166,255.0,127.5,435.0,22,125,72,0.9976628422737122
168,64.0,104.0,542.0,10,52,26,0.7382260411977768
169,188.0,124.0,556.0,10,26,24,0.7496991157531738
170,231.0,212.5,327.5,30,137,95,0.9031731486320496
171,197.0,159.0,301.5,6,32,19,0.7430142164230347
171,205.5,91.0,411.0,13,104,34,0.7823797464370728
171,206.0,149.5,202.0,12,65,42,0.9954981654882431
172,304.0,134.0,403.0,18,112,50,0.9999905228614807
173,198.5,104.0,456.0,15,104,76,0.833382248878479
174,240.5,172.0,570.0,41,162,90,0.9983745068311691
175,163.5,160.0,455.0,35,176,140,0.9584031701087952
176,50.0,173.5,331.5,12,85,35,0.9946765750646591
176,219.0,150.5,198.5,12,65,31,0.9302714169025421
177,167.5,97.5,648.5,25,143,81,0.8120364397764206
177,200.5,181.5,498.0,13,117,50,0.9941278100013733
179,279.0,139.5,405.5,26,137,93,0.991673156619072
180,168.5,175.0,643.0,31,182,98,0.9999420046806335
181,14.5,154.0,215.0,29,216,126,0.7503471970558167
181,175.0,101.5,313.5,18,137,95,0.9999295473098755
182,205.0,159.0,262.5,36,176,131,0.9810114502906799
183,196.0,259.5,322.0,52,247,136,0.9725323617458344
184,122.5,101.5,424.5,17,111,55,0.999995768070221
185,159.5,162.5,516.0,35,143,90,0.9992514252662659
186,218.0,183.0,342.0,28,144,104,0.9999628067016602
187,201.0,185.0,481.0,34,176,96,0.999602884054184
188,146.5,126.5,368.5,31,85,57,0.9997747242450714
189,189.0,172.0,153.5,26,136,83,0.7802533805370331
189,192.0,204.5,412.5,32,279,159,0.9186387807130814
190,271.0,188.5,418.5,48,299,195,0.9959395527839661
191,161.5,107.0,408.5,21,98,67,0.9999860525131226
192,236.5,176.5,368.5,37,157,119,0.9990448951721191
193,179.5,71.5,520.5,31,91,71,0.9595347046852112
194,135.0,150.5,420.5,20,79,53,0.9425352811813354
195,219.0,227.0,496.5,44,234,181,0.9982171654701233
196,129.0,159.0,465.0,10,46,26,0.7694164514541626
196,139.5,110.5,146.0,11,65,26,0.9464100003242493
196,243.0,178.5,192.0,8,45,38,0.7387600392103195
196,283.0,155.5,440.5,12,65,31,0.9089295119047165
197,194.5,143.0,395.5,9,52,69,0.8598723709583282
197,266.0,234.0,132.0,12,78,36,0.9613682925701141
198,235.5,114.0,274.5,15,98,55,0.9116023778915405
199,255.5,227.0,361.5,39,208,157,0.9995609521865845
