public_id,coordX,coordY,coordZ,x_length,y_length,z_length,probability
130,205.0,172.5,385.5,52,205,159,0.8
131,242.5,171.5,420.0,65,209,190,0.8
132,167.5,155.0,147.5,39,226,147,0.8
133,0.0,0.0,0.0,0,0,0,0.8
134,148.5,113.0,605.0,29,76,58,0.8
135,119.5,150.0,459.5,43,174,125,0.8
136,199.5,120.5,605.5,33,191,177,0.8
137,105.0,93.5,348.0,16,47,44,0.8
138,220.5,125.0,530.5,29,126,79,0.8
139,181.5,208.5,517.5,39,117,73,0.8
140,238.0,281.5,526.5,64,277,203,0.8
141,176.5,96.0,430.5,43,102,83,0.8
142,181.5,122.5,321.0,49,223,136,0.8
143,247.0,154.0,598.0,52,238,166,0.8
144,107.5,203.5,486.5,61,219,151,0.8
145,217.0,221.5,465.5,62,241,157,0.8
146,285.5,225.0,396.5,31,84,133,0.8
147,237.5,220.5,433.0,113,251,284,0.8
148,179.5,139.5,408.5,45,161,105,0.8
149,214.0,77.5,409.5,26,69,41,0.8
150,199.0,335.5,331.0,52,217,148,0.8
151,172.5,93.5,324.0,27,87,64,0.8
152,116.0,193.5,356.5,44,161,79,0.8
153,263.5,182.0,200.5,33,132,83,0.8
154,258.5,230.5,417.5,41,145,105,0.8
155,238.5,148.0,613.0,41,140,106,0.8
156,178.5,160.0,480.0,35,146,114,0.8
157,222.5,201.5,261.0,29,117,84,0.8
158,284.5,160.5,424.0,43,147,90,0.8
159,224.5,218.5,271.5,45,199,217,0.8
160,234.5,170.5,477.5,49,291,175,0.8
161,229.0,185.0,276.5,42,158,99,0.8
162,92.0,156.5,332.0,34,185,78,0.8
163,152.5,73.5,354.5,35,93,85,0.8
164,0.0,0.0,0.0,0,0,0,0.8
165,140.0,96.0,403.0,48,112,152,0.8
166,170.0,133.5,412.5,60,221,147,0.8
167,237.5,123.0,604.0,39,148,100,0.8
168,151.0,71.0,302.0,24,56,56,0.8
169,259.0,83.5,533.5,24,63,49,0.8
170,233.0,213.5,328.5,40,143,95,0.8
171,213.0,97.0,417.5,42,126,77,0.8
172,303.0,132.5,402.0,26,117,60,0.8
173,199.0,100.5,452.0,26,121,88,0.8
174,240.5,167.0,570.5,55,178,101,0.8
175,162.5,164.5,455.5,51,203,145,0.8
176,0.0,0.0,0.0,0,0,0,0.8
177,197.5,166.0,501.0,31,164,72,0.8
178,268.5,242.5,467.5,73,205,221,0.8
179,279.5,142.5,401.5,41,151,105,0.8
180,168.5,175.5,639.0,39,187,96,0.8
181,176.0,100.5,315.5,28,145,109,0.8
182,203.5,162.5,257.5,49,189,183,0.8
183,191.5,270.5,317.0,71,279,162,0.8
184,122.0,91.5,425.0,26,101,64,0.8
185,157.5,161.5,504.0,49,153,126,0.8
186,218.0,184.0,357.5,38,152,87,0.8
187,197.5,183.0,478.5,47,188,109,0.8
188,145.0,123.5,373.0,42,101,72,0.8
189,191.5,194.0,426.0,47,290,170,0.8
190,271.5,189.0,420.5,61,314,215,0.8
191,160.5,107.0,405.5,33,116,83,0.8
192,236.5,181.0,370.5,45,160,135,0.8
193,184.5,71.5,525.5,55,97,91,0.8
194,135.0,155.0,420.0,30,80,62,0.8
195,216.5,231.5,496.5,55,239,187,0.8
196,157.0,83.0,197.5,28,72,45,0.8
197,231.5,106.5,331.0,37,83,92,0.8
198,224.5,174.0,200.0,39,88,82,0.8
199,254.5,237.5,361.0,49,199,164,0.8
