public_id,coordX,coordY,coordZ,x_length,y_length,z_length,probability
137,351.0,106.0,101.5,44.0,68.0,11.0,0.6315682530403137
176,472.5,176.0,228.5,79.0,116.0,7.0,0.4396972060203552
148,417.0,149.5,182.0,80.0,133.0,28.0,0.8133163452148438
160,495.0,155.0,236.5,116.0,246.0,31.0,0.855604887008667
172,404.5,134.0,303.0,55.0,116.0,16.0,0.9919373989105225
178,506.0,245.5,241.5,80.0,105.0,9.0,0.5757205486297607
178,481.0,272.0,292.5,52.0,96.0,9.0,0.4984130263328552
147,533.5,223.0,214.0,41.0,148.0,36.0,0.5394943952560425
147,433.0,144.5,206.5,40.0,81.0,13.0,0.6385475993156433
147,534.5,235.0,247.5,43.0,156.0,27.0,0.37993717193603516
147,396.5,236.5,275.0,199.0,203.0,22.0,0.833197832107544
140,511.0,245.0,226.0,156.0,202.0,28.0,0.7929446697235107
140,576.0,230.0,249.0,62.0,148.0,14.0,0.6657824516296387
131,420.0,184.5,243.5,198.0,219.0,55.0,0.5939123630523682
135,460.5,154.0,116.0,103.0,144.0,24.0,0.8357301354408264
173,455.0,101.5,197.5,76.0,105.0,19.0,0.6264361143112183
179,408.0,145.0,281.0,98.0,120.0,18.0,0.8572812676429749
182,277.0,164.5,205.5,136.0,169.0,29.0,0.5244584083557129
169,544.0,92.0,258.0,62.0,72.0,12.0,0.6175568699836731
199,365.0,233.0,256.0,152.0,176.0,32.0,0.6215378046035767
195,497.0,238.0,218.5,176.0,220.0,41.0,0.6440602540969849
170,329.0,208.0,231.5,80.0,128.0,25.0,0.7788698673248291
190,416.0,190.5,271.5,192.0,307.0,47.0,0.511971116065979
144,380.0,139.0,45.0,86.0,108.0,22.0,0.9877804517745972
144,351.0,105.5,74.0,60.0,87.0,12.0,0.68619704246521
144,421.0,160.0,143.0,40.0,96.0,10.0,0.7074952125549316
191,413.0,112.5,160.0,64.0,97.0,16.0,0.9189134836196899
143,587.0,157.0,250.0,164.0,232.0,36.0,0.8446282148361206
143,493.0,219.5,284.0,40.0,61.0,8.0,0.5826552510261536
143,555.0,244.0,301.0,84.0,136.0,18.0,0.7814255952835083
132,153.5,181.5,170.5,151.0,239.0,35.0,0.7597620487213135
171,415.0,110.5,206.0,60.0,147.0,12.0,0.7308189868927002
150,294.0,180.0,174.0,42.0,76.0,12.0,0.5403310656547546
150,323.5,340.5,201.0,115.0,199.0,34.0,0.8054407238960266
167,610.0,131.5,236.0,94.0,155.0,30.0,0.7505005598068237
187,479.5,184.5,201.5,101.0,189.0,31.0,0.9634606838226318
180,642.0,177.5,168.0,94.0,177.0,28.0,0.9877043962478638
145,464.0,218.5,219.5,138.0,221.0,37.0,0.6620460748672485
145,214.5,164.5,214.0,73.0,55.0,12.0,0.4186747670173645
153,205.0,186.5,264.0,72.0,117.0,20.0,0.9715216159820557
188,151.0,111.5,66.0,44.0,35.0,12.0,0.5717474818229675
188,371.0,130.5,146.0,60.0,83.0,28.0,0.5959051847457886
