public_id,coordX,coordY,coordZ,x_length,y_length,z_length,probability
130,203.5,181.5,384.5,43,215,147,0.94
131,242.0,192.5,423.0,60,239,228,0.8027
132,167.5,146.5,159.5,35,201,117,0.81
133,296.5,321.5,274.5,25,81,51,0.818
134,261.0,115.0,624.5,22,46,23,0.617
134,262.5,160.0,615.5,25,50,43,0.66
135,118.0,154.0,462.5,34,148,115,0.933
136,199.0,120.0,604.0,24,180,164,0.947
137,239.0,198.5,142.5,28,57,37,0.7876
137,292.0,202.5,486.0,14,31,42,0.696
138,218.0,124.0,529.0,18,116,70,0.9683
139,183.0,197.5,521.5,16,85,39,0.6455
139,206.0,154.0,197.0,20,78,62,0.932
140,236.5,279.5,524.5,55,255,181,0.8794
141,179.0,97.5,417.0,26,75,48,0.848
142,180.0,121.5,321.0,40,213,128,0.949
143,247.0,154.0,586.0,44,226,176,0.945
144,72.0,110.5,346.5,26,105,67,0.935
145,216.0,221.5,464.5,54,233,147,0.947
146,281.5,196.5,386.5,35,139,161,0.9126
147,252.5,251.5,431.0,75,187,296,0.7935
148,180.5,140.0,408.0,33,148,96,0.937
149,218.5,82.0,374.0,29,106,112,0.7256
149,272.5,135.5,264.0,9,17,28,0.9717
150,197.5,338.0,330.5,43,202,139,0.962
151,171.5,93.0,323.0,19,78,56,0.932
151,196.0,101.5,265.5,30,113,81,0.8247
152,105.0,210.5,371.0,58,243,122,0.7627
153,263.0,181.0,196.5,26,126,83,0.8945
154,256.5,229.5,420.0,29,139,84,0.9355
155,238.0,147.0,613.5,32,132,95,0.9663
156,179.0,159.5,479.5,24,137,105,0.976
157,222.5,199.5,260.0,21,103,72,0.9233
158,283.5,160.0,425.5,33,138,83,0.963
159,228.0,187.0,234.5,48,264,283,0.886
160,235.0,184.5,484.5,46,311,175,0.881
161,228.5,167.5,262.5,35,111,59,0.9346
162,92.5,156.5,332.5,21,177,69,0.9014
163,152.5,73.0,353.5,27,84,77,0.954
164,213.0,208.5,485.5,28,117,109,0.746
165,140.5,134.0,412.5,39,178,147,0.8105
165,216.0,212.5,497.5,14,87,51,0.8823
166,169.5,134.5,415.0,51,217,150,0.9375
167,237.0,129.0,603.5,30,154,99,0.904
168,97.0,96.5,398.5,10,57,33,0.7456
168,109.5,74.0,458.5,3,6,7,0.531
168,150.5,70.5,302.0,15,47,48,0.913
169,217.5,154.0,331.0,9,60,20,0.6655
170,231.0,212.0,329.0,34,134,86,0.842
171,210.0,107.0,413.5,28,140,71,0.857
172,302.5,133.0,401.5,17,108,51,0.97
173,198.5,100.5,451.0,17,111,78,0.943
174,239.0,167.5,568.5,48,171,93,0.955
175,164.0,161.0,456.5,40,204,137,0.8813
176,46.5,76.0,325.5,3,8,7,0.5156
176,148.5,228.0,164.0,17,50,48,0.614
177,197.0,176.0,504.0,22,134,66,0.9355
178,266.5,242.0,492.5,63,196,163,0.8467
179,280.0,144.0,400.0,32,140,94,0.8936
180,166.5,175.5,638.5,29,177,89,0.979
181,175.5,103.5,316.0,19,143,100,0.97
182,202.0,161.0,270.5,42,176,165,0.9365
183,191.0,282.0,330.5,62,294,179,0.895
184,123.0,101.0,423.0,20,112,58,0.946
185,158.0,160.0,504.5,42,144,115,0.961
185,192.0,172.0,243.0,60,158,108,0.752
186,217.0,183.5,356.5,30,143,79,0.9653
187,197.0,182.0,478.5,38,182,99,0.9556
188,55.5,143.5,141.5,53,157,101,0.89
189,192.5,194.5,440.0,33,279,120,0.8
190,270.5,188.5,418.0,51,305,200,0.9653
191,162.0,106.0,403.0,26,104,76,0.969
192,235.5,180.5,367.5,35,151,127,0.9644
193,184.0,70.0,524.5,42,90,81,0.939
194,135.0,154.0,420.0,20,76,54,0.8813
194,161.5,118.0,139.0,49,84,88,0.6846
195,214.5,231.5,494.5,51,229,175,0.976
196,259.0,268.5,214.5,22,77,75,0.8257
197,228.0,144.0,295.0,40,212,164,0.6626
198,138.0,96.5,514.0,32,111,66,0.855
198,234.5,94.0,275.0,13,68,52,0.875
199,254.0,236.5,360.0,40,195,158,0.98
