public_id,coordX,coordY,coordZ,x_length,y_length,z_length,probability
130,205.5,176.5,386.0,35,175,140,0.92672473
131,243.0,199.5,429.0,44,239,218,0.9112667
132,171.0,183.0,146.5,30,240,171,0.95152396
133,95.0,232.5,360.5,2,183,89,0.909878
134,160.0,143.0,299.5,8,236,107,0.82959014
135,117.0,150.5,474.0,24,159,124,0.9299844
136,198.0,126.0,605.5,18,166,161,0.9449581
137,102.5,108.5,346.0,9,91,60,0.8946301
138,219.0,130.0,536.0,16,120,64,0.9381251
139,108.5,145.5,323.5,15,115,129,0.8744419
140,228.0,253.0,520.5,30,220,187,0.93085384
141,180.5,105.5,515.5,3,63,73,0.8406674
142,183.5,131.5,316.0,33,199,118,0.92152584
143,245.5,160.0,587.0,31,218,168,0.9601641
144,44.0,156.0,375.0,24,138,100,0.9218755
145,220.0,221.5,466.0,40,229,140,0.95876765
146,283.0,196.0,393.0,24,134,146,0.8849991
147,242.0,244.5,372.5,92,279,369,0.8768818
148,180.5,143.5,413.5,23,135,73,0.88345325
149,217.0,87.0,378.0,28,104,124,0.9114056
150,200.0,309.5,330.5,32,259,127,0.948435
151,201.0,100.5,273.0,12,109,88,0.88027006
152,123.0,224.5,421.5,36,279,183,0.83281714
153,263.5,182.5,194.0,15,117,88,0.92082435
154,257.5,231.5,418.0,23,131,98,0.93084586
155,238.0,150.0,617.0,24,130,88,0.94433695
156,179.0,162.0,484.5,20,134,97,0.9505116
157,204.0,167.5,261.0,10,137,122,0.94323325
158,282.5,162.5,427.0,21,135,82,0.93955016
159,222.5,218.5,287.5,23,181,163,0.96843415
160,237.5,174.5,491.5,31,281,149,0.9145903
161,229.5,188.5,285.0,19,127,96,0.88385946
162,101.5,155.5,346.0,23,173,84,0.88853836
163,154.0,76.5,351.5,16,79,77,0.93647575
164,210.0,239.0,492.0,20,188,106,0.8435516
165,156.0,90.5,347.5,4,89,87,0.8876258
166,174.5,135.0,418.0,55,208,126,0.93790567
167,237.0,132.0,608.0,22,152,104,0.95136374
168,1.5,184.0,616.0,3,54,36,0.90164536
169,256.0,120.5,539.5,16,129,107,0.86919326
170,230.5,214.5,331.0,21,133,92,0.89489406
171,347.0,318.5,570.0,10,107,86,0.88886297
172,301.0,164.5,405.5,16,167,49,0.90551883
173,198.0,101.0,453.0,12,108,78,0.9285618
174,243.0,172.5,588.5,36,155,127,0.9237755
175,160.5,169.0,456.0,39,208,142,0.9183828
176,66.5,93.0,343.0,5,78,52,0.83173287
177,199.5,166.5,504.0,11,151,58,0.8673194
178,266.5,241.5,491.5,59,203,173,0.942896
179,279.0,141.0,405.5,16,128,91,0.8930591
180,167.5,184.5,641.5,23,169,85,0.9646086
181,176.0,102.5,316.5,12,127,93,0.9485367
182,204.0,159.0,275.0,32,180,150,0.9505142
183,193.5,312.0,328.5,53,358,157,0.9357657
184,122.5,96.0,426.5,11,86,53,0.934714
185,158.5,164.0,513.5,35,144,121,0.9340367
186,218.5,185.0,363.0,23,138,88,0.9302253
187,199.0,187.0,480.0,30,184,106,0.9522112
188,138.0,130.5,370.5,10,77,51,0.93550986
189,188.5,215.0,406.5,29,250,197,0.91838783
190,271.0,190.5,421.0,46,301,202,0.9724345
191,158.5,110.0,409.0,17,104,68,0.9343021
192,238.0,183.0,365.5,28,150,157,0.9528786
193,181.0,72.5,526.0,30,85,76,0.94253606
194,60.0,204.0,300.5,30,226,103,0.8794207
195,217.5,233.0,500.5,39,230,179,0.9775936
196,281.0,200.0,231.5,14,134,137,0.8627409
197,269.0,198.5,224.5,10,109,71,0.8899594
198,72.5,148.5,410.0,7,93,66,0.82973087
199,254.0,237.5,364.0,32,185,150,0.9752282
