case,DiceCoefficient,HDCoefficient,score
MASK_130.nrrd,0.6192445845292116,221.47008827378923,-220.85084368926002
MASK_131.nrrd,0.47874708083139295,187.0,-186.5212529191686
MASK_132.nrrd,0.38554898091836104,326.87918257362304,-326.49363359270467
MASK_133.nrrd,0.30513325339609887,437.55113986824443,-437.24600661484834
MASK_134.nrrd,0.19352119460500963,321.32382420231465,-321.13030300770964
MASK_135.nrrd,0.6604743909082499,269.84069374354937,-269.18021935264113
MASK_136.nrrd,0.836724661545746,219.90452473744145,-219.0678000758957
MASK_137.nrrd,0.3883936804573677,267.52383071420013,-267.1354370337428
MASK_138.nrrd,0.41163217760723586,158.58436240689053,-158.1727302292833
MASK_139.nrrd,0.17924192317476467,414.87467987333235,-414.6954379501576
MASK_140.nrrd,0.5481705761865197,193.24854462582636,-192.70037404963983
MASK_141.nrrd,0.010582057513881743,355.7414791671053,-355.7308971095914
MASK_142.nrrd,0.6728480700866764,198.83158702781608,-198.1587389577294
MASK_143.nrrd,0.8089740108206184,261.4077275062847,-260.59875349546405
MASK_144.nrrd,0.04701334641374615,265.8288923349003,-265.78187898848654
MASK_145.nrrd,0.49705748467935645,275.4941015702514,-274.99704408557204
MASK_146.nrrd,0.6656537347272956,303.07754783223385,-302.41189409750655
MASK_147.nrrd,0.24343870327255426,203.82835916525454,-203.584920461982
MASK_148.nrrd,0.803674470527193,163.2574653729501,-162.4537909024229
MASK_149.nrrd,0.5069422215108835,173.16466152191677,-172.6577193004059
MASK_150.nrrd,0.8025567670955192,215.64322386757252,-214.840667100477
MASK_151.nrrd,0.22836893307485728,277.60763678256404,-277.37926784948917
MASK_152.nrrd,0.09223376619115915,201.07212636265623,-200.97989259646508
MASK_153.nrrd,0.31985990493549193,373.79406094800385,-373.4742010430684
MASK_154.nrrd,0.5515302309473031,254.8430889782966,-254.2915587473493
MASK_155.nrrd,0.46566072551273613,438.9236835715293,-438.45802284601655
MASK_156.nrrd,0.790383998195807,211.59631376751344,-210.80592976931763
MASK_157.nrrd,0.6215377598970591,238.71740615212792,-238.09586839223087
MASK_158.nrrd,0.7463201136407263,238.58122306669483,-237.8349029530541
MASK_159.nrrd,0.7242120253297887,282.1577572919093,-281.43354526657953
MASK_160.nrrd,0.5327560871886956,254.200708102869,-253.6679520156803
MASK_161.nrrd,0.04819035591504546,237.70780382646254,-237.6596134705475
MASK_162.nrrd,0.2915161472068481,292.06506124492194,-291.7735450977151
MASK_163.nrrd,0.72133368149623,253.5527558517162,-252.83142217021998
MASK_164.nrrd,0.4250254896439218,271.31347183654555,-270.8884463469016
MASK_165.nrrd,0.13534688970591263,371.6396103754281,-371.5042634857222
MASK_166.nrrd,0.19509615313741532,316.8011994926787,-316.6061033395413
MASK_167.nrrd,0.5984721720337052,397.46446382035214,-396.8659916483184
MASK_168.nrrd,0.39304449599765917,603.3796483143925,-602.9866038183949
MASK_169.nrrd,0.006761486844127239,307.91070134050227,-307.90393985365813
MASK_170.nrrd,0.5776284456043059,154.29193109168088,-153.71430264607656
MASK_171.nrrd,0.39262228628051526,292.3320030376421,-291.93938075136157
MASK_172.nrrd,0.32609253399469773,288.19611378365255,-287.87002124965784
MASK_173.nrrd,0.3657319311171455,325.61480310329875,-325.24907117218163
MASK_174.nrrd,0.534312156087405,131.7193987231949,-131.1850865671075
MASK_175.nrrd,0.26746849515396154,319.7577207824699,-319.49025228731597
MASK_176.nrrd,0.0,285.30159480802064,-285.30159480802064
MASK_177.nrrd,0.3159330985915493,173.21374079443004,-172.89780769583848
MASK_178.nrrd,0.4584149422731182,206.4097865896867,-205.95137164741357
MASK_179.nrrd,0.7070179654672696,169.22470268846686,-168.5176847229996
MASK_180.nrrd,0.5920596485043033,497.08248812445606,-496.4904284759518
MASK_181.nrrd,0.7680308645904224,116.06032913963324,-115.29229827504281
MASK_182.nrrd,0.8180520726196941,342.9635549150959,-342.1455028424762
MASK_183.nrrd,0.7090511544749986,229.31637534201522,-228.60732418754023
MASK_184.nrrd,0.3130857026162329,244.98367292536048,-244.67058722274425
MASK_185.nrrd,0.3197256975295611,311.05947984268215,-310.7397541451526
MASK_186.nrrd,0.6536281081453656,199.81491435826305,-199.16128625011768
MASK_187.nrrd,0.8110475355774912,25.709920264364882,-24.898872728787392
MASK_188.nrrd,0.13603119584055456,236.53540961133072,-236.39937841549016
MASK_189.nrrd,0.5875998533032315,250.99800796022265,-250.41040810691942
MASK_190.nrrd,0.8967432779023627,100.24470060806208,-99.34795733015972
MASK_191.nrrd,0.6094104656156064,311.61996084975044,-311.01055038413483
MASK_192.nrrd,0.796639231824417,229.83907413666634,-229.0424349048419
MASK_193.nrrd,0.7538359537791249,138.62539449898782,-137.8715585452087
MASK_194.nrrd,0.18488209487941926,316.00158227451965,-315.81670017964024
MASK_195.nrrd,0.7451647232656444,199.35897271003378,-198.61380798676814
MASK_196.nrrd,0.06905121729569064,300.87538948873834,-300.80633827144266
MASK_197.nrrd,0.16453206277046817,300.8421513019743,-300.6776192392038
MASK_198.nrrd,0.17380786675946147,386.9056732589999,-386.7318653922404
MASK_199.nrrd,0.6529219839704363,285.744641244591,-285.09171926062055
dolphins,0.46648209076480907,266.1206875110137,-265.6542054202488
