case,DiceCoefficient,HDCoefficient,score
MASK_130.nrrd,0.5111719075136621,130.5450113945378,-130.03383948702412
MASK_131.nrrd,0.11771940338508613,155.31580730885057,-155.19808790546548
MASK_132.nrrd,0.21163060487886434,136.1800279042415,-135.96839729936264
MASK_133.nrrd,0.0,229.68892006363737,-229.68892006363737
MASK_134.nrrd,0.0,676.0569502638073,-676.0569502638073
MASK_135.nrrd,0.22301939349960792,236.76148335402868,-236.53846396052907
MASK_136.nrrd,0.7741118966570656,38.262252939417984,-37.488141042760915
MASK_137.nrrd,0.0,406.8279734728181,-406.8279734728181
MASK_138.nrrd,0.0,630.0991985394046,-630.0991985394046
MASK_139.nrrd,0.03361202601131661,288.6953411470299,-288.6617291210186
MASK_140.nrrd,0.35548880817782536,133.06013678032951,-132.7046479721517
MASK_141.nrrd,0.0,166.57130605239308,-166.57130605239308
MASK_142.nrrd,0.5699305707849672,100.42410069301094,-99.85417012222598
MASK_143.nrrd,0.8457016977910536,71.62401831787993,-70.77831662008887
MASK_144.nrrd,0.08955455255516667,165.51737068960466,-165.4278161370495
MASK_145.nrrd,0.6955123337448464,183.0327839486686,-182.33727161492374
MASK_146.nrrd,0.13821756092617923,266.2724168966812,-266.134199335755
MASK_147.nrrd,0.0008176147438158446,211.36934498644783,-211.368527371704
MASK_148.nrrd,0.26294451670209057,57.66281297335398,-57.39986845665189
MASK_149.nrrd,0.0,500.9760473316065,-500.9760473316065
MASK_150.nrrd,0.24683828175932426,83.86894538504703,-83.6221071032877
MASK_151.nrrd,0.0,94.0744386111339,-94.0744386111339
MASK_152.nrrd,0.0,664.0790615581852,-664.0790615581852
MASK_153.nrrd,0.28327544592924,69.29646455628166,-69.01318911035243
MASK_154.nrrd,0.37857445629136915,51.487862647424,-51.109288191132634
MASK_155.nrrd,0.728671649157442,351.48541932774395,-350.7567476785865
MASK_156.nrrd,0.8982241180439182,25.15949125081825,-24.261267132774332
MASK_157.nrrd,0.30624614175879683,39.4715087119811,-39.1652625702223
MASK_158.nrrd,0.21604567525127902,41.50903516103452,-41.29298948578324
MASK_159.nrrd,0.8854865132836072,43.57751713900185,-42.69203062571824
MASK_160.nrrd,0.39949686950098057,219.91361940543837,-219.5141225359374
MASK_161.nrrd,0.5102671170210571,177.36121334722537,-176.85094623020433
MASK_162.nrrd,0.31025495750708215,198.5270762389856,-198.2168212814785
MASK_163.nrrd,0.0,436.9107460340155,-436.9107460340155
MASK_164.nrrd,0.07900668054437066,179.26516672237247,-179.1861600418281
MASK_165.nrrd,0.0034818462948115903,225.27760652137619,-225.27412467508137
MASK_166.nrrd,0.0,216.14809737770074,-216.14809737770074
MASK_167.nrrd,0.0,720.9916781766625,-720.9916781766625
MASK_168.nrrd,0.0,367.3812733387482,-367.3812733387482
MASK_169.nrrd,0.0,635.9386762888385,-635.9386762888385
MASK_170.nrrd,0.055689533396539766,78.93034904268447,-78.87465950928792
MASK_171.nrrd,0.0,235.55466456854552,-235.55466456854552
MASK_172.nrrd,0.15733103001511553,60.15812497078013,-60.000793940765014
MASK_173.nrrd,0.19721271004220753,188.3985137945626,-188.2013010845204
MASK_174.nrrd,0.6784999121728439,131.988635874457,-131.31013596228416
MASK_175.nrrd,0.22614713689799013,391.1150725809477,-390.88892544404973
MASK_176.nrrd,0.0,603.7300721348904,-603.7300721348904
MASK_177.nrrd,0.31924819146778444,100.98019607824101,-100.66094788677323
MASK_178.nrrd,0.31840706612059533,72.64296249465602,-72.32455542853542
MASK_179.nrrd,0.1752034810543855,67.36467917239716,-67.18947569134278
MASK_180.nrrd,0.8336083861257242,277.04151313476467,-276.20790474863895
MASK_181.nrrd,0.7156387948399263,27.964262908219126,-27.2486241133792
MASK_182.nrrd,0.6665081160513162,36.71511950137164,-36.04861138532032
MASK_183.nrrd,0.3626332548977867,164.7088340071655,-164.34620075226772
MASK_184.nrrd,0.06317799184240215,80.876448982383,-80.81327099054059
MASK_185.nrrd,0.5748352042814254,246.8217980649197,-246.2469628606383
MASK_186.nrrd,0.6867531146707349,95.67653839891993,-94.9897852842492
MASK_187.nrrd,0.3930444602617274,43.57751713900185,-43.18447267874012
MASK_188.nrrd,0.28917268963581505,200.60159520801423,-200.3124225183784
MASK_189.nrrd,0.25868773723758615,211.49231664530984,-211.23362890807226
MASK_190.nrrd,0.691936659296681,58.532042506647585,-57.840105847350905
MASK_191.nrrd,0.4904898964422421,161.2048386370583,-160.71434874061603
MASK_192.nrrd,0.7918349588484827,155.3962676514465,-154.604432692598
MASK_193.nrrd,0.24742253860174007,39.03844259188627,-38.791020053284534
MASK_194.nrrd,0.0,220.238507078122,-220.238507078122
MASK_195.nrrd,0.9246459733755972,100.79682534683322,-99.87217937345761
MASK_196.nrrd,0.0,169.1715106038839,-169.1715106038839
MASK_197.nrrd,0.16438251428789877,57.148928248918196,-56.984545734630295
MASK_198.nrrd,0.11260253542132738,209.87138918871244,-209.7587866532911
MASK_199.nrrd,0.9284972147951541,123.62847568420473,-122.69997846940957
infertdsc,0.3056987677399408,203.40049492996732,-203.09479616222734
