case,DiceCoefficient,HDCoefficient,score
MASK_130.nrrd,0.7929673945173438,90.13878188659973,-89.34581449208238
MASK_131.nrrd,0.5730114084288078,117.0,-116.42698859157119
MASK_132.nrrd,0.7254205590489241,59.21148537234985,-58.48606481330093
MASK_133.nrrd,0.0,inf,-inf
MASK_134.nrrd,0.0,125.78155667664477,-125.78155667664477
MASK_135.nrrd,0.8068391979118188,17.916472867168917,-17.109633669257096
MASK_136.nrrd,0.7922567933667186,154.40854898612318,-153.61629219275645
MASK_137.nrrd,0.7215740105239076,12.206555615733702,-11.484981605209795
MASK_138.nrrd,0.7714279536412386,18.0,-17.22857204635876
MASK_139.nrrd,0.0,inf,-inf
MASK_140.nrrd,0.4616504021214414,86.86771552193599,-86.40606511981456
MASK_141.nrrd,0.0,115.95688854052612,-115.95688854052612
MASK_142.nrrd,0.8280996705537834,23.021728866442675,-22.193629195888892
MASK_143.nrrd,0.8295827765775442,75.43208866258443,-74.6025058860069
MASK_144.nrrd,0.18444555509680785,112.57886124845996,-112.39441569336314
MASK_145.nrrd,0.7356992089026982,217.11978260858683,-216.38408339968413
MASK_146.nrrd,0.12804448438363564,264.3879724949681,-264.2599280105845
MASK_147.nrrd,0.34235735644303716,103.19883720275146,-102.85647984630843
MASK_148.nrrd,0.7909273282608302,36.55133376499413,-35.760406436733305
MASK_149.nrrd,0.07830597598237761,82.00609733428362,-81.92779135830125
MASK_150.nrrd,0.7020034016650255,79.56129712366435,-78.85929372199932
MASK_151.nrrd,0.19252272693568237,37.986839826445156,-37.79431709950947
MASK_152.nrrd,0.013921060498804956,209.87853630135695,-209.86461524085814
MASK_153.nrrd,0.7603126302099773,45.12205669071391,-44.36174406050394
MASK_154.nrrd,0.7101027571472174,34.61213659975356,-33.90203384260634
MASK_155.nrrd,0.8270671165112057,16.76305461424021,-15.935987497729005
MASK_156.nrrd,0.833511385488219,17.97220075561143,-17.13868937012321
MASK_157.nrrd,0.5424952725901636,48.46648326421054,-47.92398799162037
MASK_158.nrrd,0.8447487854768602,22.22611077089287,-21.38136198541601
MASK_159.nrrd,0.8631273826408701,32.95451410656816,-32.09138672392729
MASK_160.nrrd,0.43469257208241596,101.73494974687902,-101.30025717479661
MASK_161.nrrd,0.06796608361774745,103.93267051317406,-103.86470442955631
MASK_162.nrrd,0.5634369913475542,35.07135583350036,-34.50791884215281
MASK_163.nrrd,0.6971435982232597,27.622454633866266,-26.925311035643006
MASK_164.nrrd,0.12694977708865515,173.83325343558406,-173.7063036584954
MASK_165.nrrd,0.267976556246934,200.4145703286066,-200.14659377235967
MASK_166.nrrd,0.2055249794991484,233.6771276783417,-233.47160269884253
MASK_167.nrrd,0.84477611090714,16.911534525287763,-16.066758414380622
MASK_168.nrrd,0.0,inf,-inf
MASK_169.nrrd,0.6536896026581753,34.0,-33.346310397341824
MASK_170.nrrd,0.6907334060894409,30.380915061926625,-29.690181655837186
MASK_171.nrrd,0.6928140644093186,26.851443164195103,-26.158629099785784
MASK_172.nrrd,0.6699321023225515,44.19275958796871,-43.52282748564616
MASK_173.nrrd,0.7272105645540408,15.811388300841896,-15.084177736287856
MASK_174.nrrd,0.684030310767435,151.2283042290695,-150.54427391830205
MASK_175.nrrd,0.7351701590285776,424.115550292606,-423.3803801335774
MASK_176.nrrd,0.042626400975463094,39.06404996924922,-39.021423568273754
MASK_177.nrrd,0.6181294456528129,22.67156809750927,-22.053438651856457
MASK_178.nrrd,0.05380678481564015,82.56512580987206,-82.51131902505642
MASK_179.nrrd,0.6478347332119453,39.16631205513228,-38.51847732192034
MASK_180.nrrd,0.859184073998225,39.293765408777,-38.43458133477878
MASK_181.nrrd,0.7900026433155051,25.573423705088842,-24.78342106177334
MASK_182.nrrd,0.7696474382965982,33.71943060017473,-32.94978316187813
MASK_183.nrrd,0.48671389709856205,135.49907748763457,-135.012363590536
MASK_184.nrrd,0.79525165460982,7.14142842854285,-6.34617677393303
MASK_185.nrrd,0.8042012113922419,29.34280150224242,-28.538600290850177
MASK_186.nrrd,0.6707017478447115,139.73188612482122,-139.0611843769765
MASK_187.nrrd,0.7665040491000137,22.045407685048602,-21.278903635948588
MASK_188.nrrd,0.7575091434440786,223.3853173330781,-222.627808189634
MASK_189.nrrd,0.4733295091910004,70.49822692805827,-70.02489741886727
MASK_190.nrrd,0.8937679202772266,25.37715508089904,-24.483387160621813
MASK_191.nrrd,0.7421876628656007,21.633307652783937,-20.891119989918337
MASK_192.nrrd,0.8691597983584529,24.186773244895647,-23.317613446537194
MASK_193.nrrd,0.627247490924621,18.466185312619388,-17.838937821694767
MASK_194.nrrd,0.0,83.48053665376139,-83.48053665376139
MASK_195.nrrd,0.9050629475805332,24.71841418861655,-23.813351241036017
MASK_196.nrrd,0.0,inf,-inf
MASK_197.nrrd,0.0,233.21449354617735,-233.21449354617735
MASK_198.nrrd,0.0,262.42903802742563,-262.42903802742563
MASK_199.nrrd,0.9054203974903909,30.430248109405877,-29.524827711915485
mispl,0.5341822632030113,inf,-inf
