case,DiceCoefficient,HDCoefficient,score
MASK_130.nrrd,0.7954793874911003,105.60776486603625,-104.81228547854515
MASK_131.nrrd,0.8348247342353693,84.45708969648433,-83.62226496224896
MASK_132.nrrd,0.4232949966279689,121.47839314050874,-121.05509814388077
MASK_133.nrrd,0.0,229.9956521328175,-229.9956521328175
MASK_134.nrrd,0.0,152.0328911781921,-152.0328911781921
MASK_135.nrrd,0.7008782308730648,22.825424421026653,-22.124546190153588
MASK_136.nrrd,0.8103648964047586,45.17742799230607,-44.367063095901315
MASK_137.nrrd,0.0,219.4288039433292,-219.4288039433292
MASK_138.nrrd,0.7271438167027391,17.832554500127006,-17.105410683424267
MASK_139.nrrd,0.0,232.61556267799452,-232.61556267799452
MASK_140.nrrd,0.6423379920598374,91.06041950265768,-90.41808151059784
MASK_141.nrrd,0.0,165.41463055002117,-165.41463055002117
MASK_142.nrrd,0.8610368118545424,29.79932885150268,-28.938292039648136
MASK_143.nrrd,0.8454935156118076,29.5296461204668,-28.684152604854994
MASK_144.nrrd,0.0,117.36268572250722,-117.36268572250722
MASK_145.nrrd,0.8608893865086847,50.0199960015992,-49.15910661509052
MASK_146.nrrd,0.7315241950034604,64.35837163881635,-63.62684744381289
MASK_147.nrrd,0.4356521172500757,64.96922348312314,-64.53357136587307
MASK_148.nrrd,0.8001722147204446,33.12099032335839,-32.320818108637944
MASK_149.nrrd,0.0,190.98167451355116,-190.98167451355116
MASK_150.nrrd,0.7652051081813589,62.617888817813075,-61.85268370963172
MASK_151.nrrd,0.0,80.9814793641114,-80.9814793641114
MASK_152.nrrd,0.03298106851445902,180.70417814760123,-180.67119707908677
MASK_153.nrrd,0.5875886445158343,72.20803279414278,-71.62044414962695
MASK_154.nrrd,0.7974393367756638,27.53179979587241,-26.734360459096745
MASK_155.nrrd,0.8663062671831043,15.620499351813308,-14.754193084630204
MASK_156.nrrd,0.7781434121809933,21.748563170931547,-20.970419758750555
MASK_157.nrrd,0.7408150648139703,38.600518131237564,-37.85970306642359
MASK_158.nrrd,0.8552103634070847,25.709920264364882,-24.854709900957797
MASK_159.nrrd,0.724227882040275,54.415071441651165,-53.69084355961089
MASK_160.nrrd,0.5674158065239225,100.88607436113271,-100.31865855460879
MASK_161.nrrd,0.0,234.40349826741067,-234.40349826741067
MASK_162.nrrd,0.5270879143675061,27.294688127912362,-26.767600213544856
MASK_163.nrrd,0.7957272204516437,24.20743687382041,-23.411709653368767
MASK_164.nrrd,0.4755328802515498,119.0,-118.52446711974845
MASK_165.nrrd,0.0,259.83456275099354,-259.83456275099354
MASK_166.nrrd,0.0,232.51236526258126,-232.51236526258126
MASK_167.nrrd,0.3821391312987465,55.614746245937326,-55.23260711463858
MASK_168.nrrd,0.0,342.19292803913993,-342.19292803913993
MASK_169.nrrd,0.0,363.55742324975296,-363.55742324975296
MASK_170.nrrd,0.6896846975409713,27.820855486487112,-27.13117078894614
MASK_171.nrrd,0.0,226.2056586383285,-226.2056586383285
MASK_172.nrrd,0.6880544804011545,54.92722457943783,-54.23917009903668
MASK_173.nrrd,0.7477869919223862,20.346989949375804,-19.599202957453418
MASK_174.nrrd,0.7522075938130602,23.53720459187964,-22.78499699806658
MASK_175.nrrd,0.8021472355783671,429.0058274662478,-428.2036802306694
MASK_176.nrrd,0.19455688636346444,44.11349000022555,-43.91893311386209
MASK_177.nrrd,0.0,139.91783303067555,-139.91783303067555
MASK_178.nrrd,0.8844280617607437,36.61966684720111,-35.735238785440366
MASK_179.nrrd,0.7184831336811935,54.58021619598075,-53.86173306229956
MASK_180.nrrd,0.7770083760790005,24.779023386727733,-24.002015010648734
MASK_181.nrrd,0.758965474569979,25.514701644346147,-24.755736169776167
MASK_182.nrrd,0.8759335617375391,28.39013913315678,-27.51420557141924
MASK_183.nrrd,0.7295938456083226,137.7461433216916,-137.01654947608327
MASK_184.nrrd,0.6861879846182942,15.588457268119896,-14.902269283501601
MASK_185.nrrd,0.8222420484704862,31.701734968294716,-30.87949291982423
MASK_186.nrrd,0.8510781822678929,29.8496231131986,-28.998544930930706
MASK_187.nrrd,0.7980830773169483,24.839484696748443,-24.041401619431493
MASK_188.nrrd,0.7955845480891339,27.202941017470888,-26.407356469381753
MASK_189.nrrd,0.0,334.0928014788705,-334.0928014788705
MASK_190.nrrd,0.9176040113836563,18.788294228055936,-17.87069021667228
MASK_191.nrrd,0.8148962081879698,22.360679774997898,-21.545783566809927
MASK_192.nrrd,0.8634705195563339,22.045407685048602,-21.18193716549227
MASK_193.nrrd,0.634469775332037,26.40075756488817,-25.766287789556134
MASK_194.nrrd,0.0,344.3210710949883,-344.3210710949883
MASK_195.nrrd,0.9172598610834912,25.25866188063018,-24.34140201954669
MASK_196.nrrd,0.6894477198893033,24.08318915758459,-23.393741437695287
MASK_197.nrrd,0.4838354665937423,42.24926034855522,-41.76542488196148
MASK_198.nrrd,0.5003268183274592,66.01514977639603,-65.51482295806856
MASK_199.nrrd,0.8809739898342582,19.339079605813716,-18.458105615979456
Sante2024,0.5377031849408166,96.50502533780099,-95.96732215286018
