case,DiceCoefficient,HDCoefficient,score
MASK_130.nrrd,0.0,inf,-inf
MASK_131.nrrd,0.0,inf,-inf
MASK_132.nrrd,0.0,inf,-inf
MASK_133.nrrd,0.0,inf,-inf
MASK_134.nrrd,0.0,inf,-inf
MASK_135.nrrd,0.0,inf,-inf
MASK_136.nrrd,0.0,inf,-inf
MASK_137.nrrd,0.0,inf,-inf
MASK_138.nrrd,0.0,inf,-inf
MASK_139.nrrd,0.0,inf,-inf
MASK_140.nrrd,0.0,inf,-inf
MASK_141.nrrd,0.0,inf,-inf
MASK_142.nrrd,0.0,inf,-inf
MASK_143.nrrd,0.0,inf,-inf
MASK_144.nrrd,0.0,inf,-inf
MASK_145.nrrd,0.0,inf,-inf
MASK_146.nrrd,0.0,inf,-inf
MASK_147.nrrd,0.0,inf,-inf
MASK_148.nrrd,0.0,inf,-inf
MASK_149.nrrd,0.0,inf,-inf
MASK_150.nrrd,0.0,inf,-inf
MASK_151.nrrd,0.0,inf,-inf
MASK_152.nrrd,0.0,inf,-inf
MASK_153.nrrd,0.0,inf,-inf
MASK_154.nrrd,0.0,inf,-inf
MASK_155.nrrd,0.0,inf,-inf
MASK_156.nrrd,0.0,inf,-inf
MASK_157.nrrd,0.0,inf,-inf
MASK_158.nrrd,0.0,inf,-inf
MASK_159.nrrd,0.0,inf,-inf
MASK_160.nrrd,0.0,inf,-inf
MASK_161.nrrd,0.0,inf,-inf
MASK_162.nrrd,0.0,inf,-inf
MASK_163.nrrd,0.0,inf,-inf
MASK_164.nrrd,0.0,inf,-inf
MASK_165.nrrd,0.0,inf,-inf
MASK_166.nrrd,0.0,inf,-inf
MASK_167.nrrd,0.0,inf,-inf
MASK_168.nrrd,0.0,inf,-inf
MASK_169.nrrd,0.0,inf,-inf
MASK_170.nrrd,0.0,inf,-inf
MASK_171.nrrd,0.0,inf,-inf
MASK_172.nrrd,0.0,inf,-inf
MASK_173.nrrd,0.0,inf,-inf
MASK_174.nrrd,0.0,inf,-inf
MASK_175.nrrd,0.0,inf,-inf
MASK_176.nrrd,0.0,inf,-inf
MASK_177.nrrd,0.0,inf,-inf
MASK_178.nrrd,0.0,inf,-inf
MASK_179.nrrd,0.0,inf,-inf
MASK_180.nrrd,0.0,inf,-inf
MASK_181.nrrd,0.0,inf,-inf
MASK_182.nrrd,0.0,inf,-inf
MASK_183.nrrd,0.0,inf,-inf
MASK_184.nrrd,0.0,inf,-inf
MASK_185.nrrd,0.0,inf,-inf
MASK_186.nrrd,0.0,inf,-inf
MASK_187.nrrd,0.0,inf,-inf
MASK_188.nrrd,0.0,inf,-inf
MASK_189.nrrd,0.0,inf,-inf
MASK_190.nrrd,0.0,inf,-inf
MASK_191.nrrd,0.0,inf,-inf
MASK_192.nrrd,0.0,inf,-inf
MASK_193.nrrd,0.0,inf,-inf
MASK_194.nrrd,0.0,inf,-inf
MASK_195.nrrd,0.0,inf,-inf
MASK_196.nrrd,0.0,inf,-inf
MASK_197.nrrd,0.0,inf,-inf
MASK_198.nrrd,0.0,inf,-inf
MASK_199.nrrd,0.0,inf,-inf
ucla_cdx,0.0,inf,-inf
